name,code
alimentary tract and metabolism,A
stomatological preparations,A01
stomatological preparations,A01A
antiinfectives and antiseptics for local oral treatment,A01AB
hydrogen peroxide,A01AB02
chlorhexidine,A01AB03
amphotericin b,A01AB04
polynoxylin,A01AB05
domiphen,A01AB06
oxyquinoline,A01AB07
neomycin,A01AB08
miconazole,A01AB09
natamycin,A01AB10
various,A01AB11
hexetidine,A01AB12
tetracycline,A01AB13
benzoxonium chloride,A01AB14
tibezonium iodide,A01AB15
mepartricin,A01AB16
metronidazole,A01AB17
clotrimazole,A01AB18
sodium perborate,A01AB19
chlortetracycline,A01AB21
doxycycline,A01AB22
minocycline,A01AB23
corticosteroids for local oral treatment,A01AC
triamcinolone,A01AC01
dexamethasone,A01AC02
hydrocortisone,A01AC03
"prednisolone, combinations",A01AC54
other agents for local oral treatment,A01AD
epinephrine,A01AD01
benzydamine,A01AD02
acetylsalicylic acid,A01AD05
adrenalone,A01AD06
amlexanox,A01AD07
becaplermin,A01AD08
various,A01AD11
caries prophylactic agents,A01AA
sodium fluoride,A01AA01
sodium monofluorophosphate,A01AA02
olaflur,A01AA03
stannous fluoride,A01AA04
combinations,A01AA30
"sodium fluoride, combinations",A01AA51
drugs for acid related disorders,A02
antacids,A02A
aluminium compounds,A02AB
aluminium hydroxide,A02AB01
algeldrate,A02AB02
aluminium phosphate,A02AB03
dihydroxialumini sodium carbonate,A02AB04
aluminium acetoacetate,A02AB05
aloglutamol,A02AB06
aluminium glycinate,A02AB07
combinations,A02AB10
calcium compounds,A02AC
calcium carbonate,A02AC01
calcium silicate,A02AC02
combinations,A02AC10
"combinations and complexes of aluminium, calcium and magnesium compounds",A02AD
ordinary salt combinations,A02AD01
magaldrate,A02AD02
almagate,A02AD03
hydrotalcite,A02AD04
almasilate,A02AD05
antacids with antiflatulents,A02AF
magaldrate and antiflatulents,A02AF01
ordinary salt combinations and antiflatulents,A02AF02
antacids with antispasmodics,A02AG
antacids with sodium bicarbonate,A02AH
"antacids, other combinations",A02AX
drugs for peptic ulcer and gastro-oesophageal reflux disease (gord),A02B
h<n>2</n>-receptor antagonists,A02BA
cimetidine,A02BA01
ranitidine,A02BA02
famotidine,A02BA03
nizatidine,A02BA04
niperotidine,A02BA05
roxatidine,A02BA06
ranitidine bismuth citrate,A02BA07
lafutidine,A02BA08
"cimetidine, combinations",A02BA51
"famotidine, combinations",A02BA53
prostaglandins,A02BB
misoprostol,A02BB01
enprostil,A02BB02
proton pump inhibitors,A02BC
omeprazole,A02BC01
pantoprazole,A02BC02
lansoprazole,A02BC03
rabeprazole,A02BC04
esomeprazole,A02BC05
dexlansoprazole,A02BC06
dexrabeprazole,A02BC07
vonoprazan,A02BC08
"lansoprazole, combinations",A02BC53
"rabeprazole, combinations",A02BC54
combinations for eradication of helicobacter pylori,A02BD
"omeprazole, amoxicillin and metronidazole",A02BD01
"lansoprazole, tetracycline and metronidazole",A02BD02
"lansoprazole, amoxicillin and metronidazole",A02BD03
"pantoprazole, amoxicillin and clarithromycin",A02BD04
"omeprazole, amoxicillin and clarithromycin",A02BD05
"esomeprazole, amoxicillin and clarithromycin",A02BD06
"lansoprazole, amoxicillin and clarithromycin",A02BD07
"bismuth subcitrate, tetracycline and metronidazole",A02BD08
"lansoprazole, clarithromycin and tinidazole",A02BD09
"lansoprazole, amoxicillin and levofloxacin",A02BD10
"pantoprazole, amoxicillin, clarithromycin and metronidazole",A02BD11
"rabeprazole, amoxicillin and clarithromycin",A02BD12
"rabeprazole, amoxicillin and metronidazole",A02BD13
"vonoprazan, amoxicillin and clarithromycin",A02BD14
"vonoprazan, amoxicillin and metronidazole",A02BD15
other drugs for peptic ulcer and gastro-oesophageal reflux disease (gord),A02BX
carbenoxolone,A02BX01
sucralfate,A02BX02
pirenzepine,A02BX03
methiosulfonium chloride,A02BX04
bismuth subcitrate,A02BX05
proglumide,A02BX06
gefarnate,A02BX07
sulglicotide,A02BX08
acetoxolone,A02BX09
zolimidine,A02BX10
troxipide,A02BX11
bismuth subnitrate,A02BX12
alginic acid,A02BX13
rebamipide,A02BX14
"carbenoxolone, combinations excl. psycholeptics",A02BX51
"carbenoxolone, combinations with psycholeptics",A02BX71
"gefarnate, combinations with psycholeptics",A02BX77
other drugs for acid related disorders,A02X
magnesium compounds,A02AA
magnesium carbonate,A02AA01
magnesium oxide,A02AA02
magnesium peroxide,A02AA03
magnesium hydroxide,A02AA04
magnesium silicate,A02AA05
combinations,A02AA10
drugs for functional gastrointestinal disorders,A03
drugs for functional gastrointestinal disorders,A03A
"synthetic anticholinergics, quaternary ammonium compounds",A03AB
benzilone,A03AB01
glycopyrronium bromide,A03AB02
oxyphenonium,A03AB03
penthienate,A03AB04
propantheline,A03AB05
otilonium bromide,A03AB06
methantheline,A03AB07
tridihexethyl,A03AB08
isopropamide,A03AB09
hexocyclium,A03AB10
poldine,A03AB11
mepenzolate,A03AB12
bevonium,A03AB13
pipenzolate,A03AB14
diphemanil,A03AB15
(2-benzhydryloxyethyl)diethyl-methylammonium iodide,A03AB16
tiemonium iodide,A03AB17
prifinium bromide,A03AB18
timepidium bromide,A03AB19
fenpiverinium,A03AB21
"oxyphenonium, combinations",A03AB53
"synthetic antispasmodics, amides with tertiary amines",A03AC
dimethylaminopropionylphenothiazine,A03AC02
nicofetamide,A03AC04
tiropramide,A03AC05
papaverine and derivatives,A03AD
papaverine,A03AD01
drotaverine,A03AD02
moxaverine,A03AD30
serotonin receptor antagonists,A03AE
alosetron,A03AE01
cilansetron,A03AE03
other drugs for functional gastrointestinal disorders,A03AX
fenpiprane,A03AX01
